SRR8245064	SRR8245065	SRR8245066	SRR8245067	SRR8245068	SRR8245069	SRR8245070	SRR8245071	SRR8245072	SRR8245073	SRR8245074	SRR8245075	SRR8245076	SRR8245077
ENSMUSG00000102693.2	3	0	0	0	0	0	1	0	0	0	0	0	0	3
ENSMUSG00000064842.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051951.6	8	27	16	5	5	9	6	5	2	0	0	0	0	1
ENSMUSG00000102851.2	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103377.2	13	0	2	7	2	0	0	0	0	0	0	0	1	0
ENSMUSG00000104017.2	7	1	7	6	11	30	5	0	0	0	2	21	0	1
ENSMUSG00000103025.2	17	0	2	3	1	8	0	0	4	0	0	0	3	0
ENSMUSG00000089699.2	1	0	0	0	0	1	0	0	1	0	0	0	0	0
ENSMUSG00000103201.2	8	16	7	5	0	6	0	0	0	0	0	0	1	0
ENSMUSG00000103147.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103161.2	2	0	6	1	0	1	2	1	1	0	0	0	0	0
ENSMUSG00000102331.2	5	0	0	4	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000102348.2	1	0	2	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102592.2	0	0	1	1	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000088333.4	1	0	1	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000102343.2	3	0	0	2	0	1	1	0	0	0	0	0	0	0
ENSMUSG00000025900.14	26	6	18	4	2	12	3	1	3	0	0	7	11	2
ENSMUSG00000102948.2	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSMUSG00000104123.2	1	8	0	0	1	0	2	1	1	0	0	0	0	0
ENSMUSG00000025902.14	0	1	1	0	0	2	0	0	0	0	1	0	1	1
ENSMUSG00000104238.2	0	0	0	0	0	0	2	1	0	0	0	0	0	0
ENSMUSG00000102269.2	1	1	0	1	0	0	0	0	3	0	0	0	0	0
ENSMUSG00000118917.1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000103003.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104328.2	8	0	6	0	0	0	0	0	0	0	3	0	2	0
ENSMUSG00000102735.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098104.2	3	4	2	6	8	4	4	8	6	3	5	7	2	4
ENSMUSG00000102175.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002075947.1	0	0	0	0	0	0	0	0	0	0	0	9	0	0
ENSMUSG00000103265.2	5	0	3	1	0	11	0	0	0	3	0	0	0	0
ENSMUSG00000103922.2	1	1	1	2	1	5	0	3	0	2	2	0	0	2
ENSMUSG00000033845.14	186	148	158	119	187	187	178	105	197	206	147	124	106	183
ENSMUSG00000102275.2	0	0	0	0	0	5	0	0	0	1	1	0	0	0
ENSMUSG00000025903.15	206	237	229	169	220	283	213	174	245	236	189	131	180	201
ENSMUSG00000104217.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033813.16	97	116	134	93	95	155	131	74	132	93	96	132	114	117
ENSMUSG00000062588.5	0	0	1	0	0	2	1	0	0	2	1	0	0	0
ENSMUSG00000103280.2	0	0	1	0	3	0	0	4	2	0	0	0	0	1
ENSMUSG00000002459.18	4	5	4	1	0	6	5	0	0	0	0	2	0	3
ENSMUSG00000091305.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102653.2	0	0	0	2	0	20	0	11	0	2	0	0	0	0
ENSMUSG00000085623.2	14	0	10	0	0	6	0	0	1	0	0	0	0	0
ENSMUSG00000091665.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033793.13	376	411	239	328	401	273	308	211	355	369	214	423	267	393
ENSMUSG00000104352.2	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104046.2	4	0	3	2	0	0	0	3	0	0	0	0	3	0
ENSMUSG00000102907.2	0	2	1	0	0	0	0	0	1	1	0	0	8	0
ENSMUSG00000025905.15	4	0	6	0	0	19	0	0	9	0	0	0	0	2
ENSMUSG00000103936.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076544.1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000103519.2	3	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000033774.5	1	0	0	0	0	0	1	0	3	0	0	0	0	0
ENSMUSG00000103090.2	0	0	2	0	0	1	0	1	0	0	0	0	0	0
ENSMUSG00000025907.15	90	89	103	115	91	113	113	97	136	128	163	152	281	119
ENSMUSG00000090031.3	17	0	13	19	22	29	22	26	12	4	39	119	29	14
ENSMUSG00000087247.4	0	0	0	0	0	3	0	0	0	0	1	0	0	0
ENSMUSG00000103355.2	3	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102706.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103845.2	0	0	1	0	0	0	0	2	0	0	1	0	0	0
ENSMUSG00000033740.18	13	1	11	3	1	13	1	3	0	1	6	0	0	0
ENSMUSG00000103329.3	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104385.2	1	0	0	2	0	0	2	0	1	0	0	0	0	0
ENSMUSG00000102135.2	5	4	6	4	3	6	3	1	8	4	5	5	10	4
ENSMUSG00000103282.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102534.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102213.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629.2	1	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051285.18	120	42	101	111	126	169	109	78	164	206	97	245	217	175
ENSMUSG00000098201.2	4	2	2	1	0	1	3	1	2	0	9	0	1	1
ENSMUSG00000103509.2	1	0	0	3	19	0	0	3	0	6	8	0	4	4
ENSMUSG00000048538.8	0	1	0	0	4	1	0	1	0	1	0	7	0	4
ENSMUSG00000103709.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768.2	2	0	4	0	0	7	0	0	2	0	0	0	0	0
ENSMUSG00000097797.7	2	2	6	1	0	1	1	3	6	0	5	0	4	2
ENSMUSG00000103498.2	1	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067.2	1	1	0	0	3	0	3	0	0	3	0	0	4	0
ENSMUSG00000102320.2	5	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000104226.2	2	0	7	0	3	0	3	5	2	0	4	10	0	2
ENSMUSG00000103903.2	0	0	0	1	0	0	0	3	0	0	0	0	0	0
ENSMUSG00000103557.2	0	1	7	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000025909.17	11	3	5	2	9	28	3	5	5	3	1	0	4	2
ENSMUSG00000102647.2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000086235.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102253.2	3	1	11	5	0	1	0	1	3	0	3	0	2	9
ENSMUSG00002074990.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884.2	9	0	4	0	0	0	5	2	2	0	1	0	0	1
ENSMUSG00000084353.2	0	0	2	1	0	3	0	2	1	0	2	0	0	0
ENSMUSG00000103933.2	0	1	1	1	2	2	1	0	0	1	1	0	1	2
ENSMUSG00002075967.1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000086195.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104504.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066693.3	0	0	0	0	0	0	1	0	0	0	0	0	1	0
ENSMUSG00000102316.2	2	0	0	2	2	3	2	0	0	0	0	0	2	0
ENSMUSG00000103819.2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102871.2	3	1	6	1	0	2	7	7	1	0	2	0	1	0
ENSMUSG00000101571.3	1	0	2	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000104428.2	0	0	1	0	0	4	0	0	0	0	0	0	0	0
ENSMUSG00000102272.2	3	7	7	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000065625.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103411.2	1	13	3	0	0	0	0	3	4	0	4	10	2	3
ENSMUSG00000061024.9	66	52	104	105	75	104	93	40	100	59	101	21	140	173
ENSMUSG00000025911.15	0	0	1	1	1	2	7	2	0	3	0	7	2	5
ENSMUSG00000079671.9	2	0	3	1	0	10	0	1	2	0	4	1	2	0
ENSMUSG00000081441.4	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ENSMUSG00000067879.4	0	13	5	3	0	6	0	0	0	0	0	0	0	0
ENSMUSG00000099827.2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000025912.17	6	1	6	6	2	3	2	8	2	0	4	0	0	1
ENSMUSG00000045210.9	207	260	336	337	432	329	285	277	495	410	423	401	373	393
ENSMUSG00000097893.9	29	13	30	37	71	35	61	49	51	60	52	68	46	53
ENSMUSG00000025915.15	40	28	57	19	48	9	47	42	41	109	98	107	79	62
ENSMUSG00000046334.5	1	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00002075801.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000046101.17	26	25	23	36	12	24	19	6	17	29	19	11	34	23
ENSMUSG00000098234.8	59	96	84	108	114	109	123	44	160	163	151	91	135	158
ENSMUSG00000093178.3	1	1	1	2	4	1	0	1	5	5	4	0	2	1
ENSMUSG00000099032.3	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000104025.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025916.11	0	4	0	0	0	0	0	0	1	0	1	0	1	0
ENSMUSG00000087199.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000119658.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025917.10	145	174	154	144	160	268	159	106	194	114	168	198	191	225
ENSMUSG00000056763.17	100	85	56	82	53	67	84	50	73	82	158	12	67	86
